FROM	STATE	ZIP	TO	STATE	ZIP	MAX	MIN	AVG	COUNT
CONYERS	GA	30012	BREINIGSVILLE	PA	18031	1690.46	1690.46	1690	6
MIDDLETOWN	VA	22645	SALT LAKE CITY	UT	84119	3500.00	3500.00	3500	1
MIDDLETOWN	VA	22645	OVERLAND PARK	KS	66211	1300.00	1300.00	1300	1
LAVERGNE	TN	38076	MEMPHIS	TN	38141	1450.00	1450.00	1450	1
TINTON FALLS	NJ	07724	CHARLOTTE	NC	28273	990.00	990.00	990	1
LENEXA	KS	66219	FREMONT	CA	94538	2800.00	2800.00	2800	1
LANCASTER	PA	17601	TRENTON	NJ	08638	500.00	500.00	500	2
SALT LAKE CITY	UT	84108	MIRAMAR	FL	33025	8296.00	8296.00	8296	1
MIDDLETOWN	VA	22645	BUFORD	GA	30519	800.00	800.00	800	1
CHICAGO	IL		TRENTON	NJ		1900.00	1900.00	1900	1
MONTGOMERYVILLE	PA	18936	ROCKVILLE	MD	20850	575.00	575.00	575	1
NEWBURYPORT	MA	01950	EWING	NJ	08628	550.00	550.00	550	1
MOONACHIE	NJ	07074	LEBANON JUNCTION	KY	40150	900.00	900.00	900	1
MIDDLETOWN	VA	22645	CHARLOTTE	NC	27273	1000.00	1000.00	1000	1
SALT LAKE CITY	UT	84108	FT LAUDERDALE	FL	33325	5700.00	5700.00	5700	1
CHARLESTON	SC	29410	ATHENS	GA	29410	1050.00	1050.00	1050	1
WESTBOROUGH	MA	01581	PHILADELPHIA	PA	19154	650.00	650.00	650	1
ADDISON	TX	75001	EWING	NJ	08618	2400.00	2350.00	2375	2
CLAYSBURG	PA	16625	LEWISVILLE	TX	75057	2150.00	2150.00	2150	1
TINTON FALLS	NJ	07724	MORRISVILLE	NC	27560	925.00	925.00	925	1
CHARLOTTE	NC	28262	JACKSONVILLE	FL	32218	850.00	850.00	850	1
CONYERS	GA	30012	SWEDESBORO	NJ	07072	1694.60	1694.60	1695	1
BELLMAWR	NJ	08031	AUSTIN	TX	78728	2700.00	2700.00	2700	1
HOLLISTON	MA	01746	BREINIGSVILLE	PA	18031	850.00	605.00	728	4
LANCASTER	PA	17601	EWING	NJ	08618	800.00	800.00	800	1
HATFIELD	PA	19440	CHARGRIN FALLS	NJ	44023	750.00	750.00	750	1
BURLINGTON	NC	27217	ROCKFORD	IL	61109	1050.00	1050.00	1050	1
MIDDLETOWN	VA	22645	MONTGOMERY	NY	12549	800.00	775.00	792	3
MAQUOKETA	IA	52060	EWING	NJ	08618	2390.00	1900.00	2156	13
CLAYSBURG	PA	16625	EWING 	NJ	08618	900.00	850.00	867	3
MINNEAPOLIS	MN	55442	BRANCHBURG	NJ	08876	2600.00	2600.00	2600	2
HOLLISTON	MA	01746	ALLENTOWN	PA	18106	645.00	550.00	598	4
MOREHEAD CITY	NC	28557	BRADENTON	FL	34203	1700.00	1700.00	1700	1
MOREHEAD CITY	NC	28557	CHARLESTON	SC	29406	600.00	600.00	600	1
HORSHAM	PA	19044	LOS ANGERES	CA	90039	3700.00	3700.00	3700	1
LANCASTER	PA	17601	PHILADELPHIA	PA	19134	375.00	375.00	375	1
MIDDLETOWN	VA	22645	INDIANAPOLIS	IN	46278	625.00	625.00	625	1
ROCKLAND	MA	02370	CLAYSBURG	PA	16625	715.00	715.00	715	1
OWENSVILLE	MO	65066	AUSTIN	TX	78744	1600.00	1200.00	1400	3
CONYERS	GA	30012	MT PROSPECT	IL	60056	900.00	850.00	867	3
SAN JOSE	CA	95122	TORRANCE	CA	90504	615.00	615.00	615	1
SILER CITY	NC	27344	LAVERGNE	TN	37086	1200.00	1200.00	1200	1
ROCKLAND	MA	02370	EWING	NJ	08618	745.00	500.00	587	22
LANCASTER	PA	17601	AUSTIN	TX	78744	2070.00	2070.00	2070	2
MIDDLETOWN	VA	22645	WESTON	FL	33331	2000.00	2000.00	2000	1
BURLINGTON	NC	27215	ROCKFORD	IL	61109	1300.00	1300.00	1300	1
CLAYSBURG	PA	16625	AUSTIN	TX	78744	3000.00	1850.00	2159	18
EWING	NJ	08618	AUSTIN	TX	78744	2150.00	2150.00	2150	1
WORCESTER	MA	01606	ELKTON	MD	21921	500.00	500.00	500	1
MEMPHIS	TN	38134	LAVERGNE	TN	37086	1250.00	1250.00	1250	1
HOLLISTON	MA	01746	SWEDESBORO	NJ	08085	700.00	700.00	700	1
AUBURN HILLS	MI	48326	ANTIOCH	TN	37013	1000.00	1000.00	1000	1
MAQUOKETA	IA	52060	CONCORD	CA	94518	2200.00	2200.00	2200	1
GREENVILLE	SC	29605	RAHWAY	NJ	07065	1775.00	1500.00	1627	23
MIDDLETOWN	VA	30519	BUFORD	GA	30519	0	0	0	1
EWING	NJ	08618	HOUSTON	TX	77032	2295.00	2295.00	2295	2
SANDIEGO	CA	92108	TORRANCE	CA	90504	795.00	795.00	795	1
ROCKLAND	MA	02370	PHILADELPHIA	PA	19134	750.00	600.00	635	6
LAKEWOOD	NJ	08701	LAVERGNE	TN	37086	1959.90	1959.90	1960	1
SWEDESBORO	NJ	08085	AUSTIN	TX	78744	2500.00	2500.00	2500	1
PHILADELPHIA	PA	19154	RICHMOND	VA	23228	600.00	600.00	600	1
MANCHESTER	CT	06045	SOMERSET	NJ	06045	395.00	395.00	395	1
MIDDLETOWN	VA	22645	DIXON	CA	95620	3350.00	3350.00	3350	1
SOLON	OH	44139	MIDDLETOWN	VA	22645	900.00	900.00	900	1
TRENTON	NJ	08638	HOUSTON	TX	77032	2150.00	2150.00	2150	2
OWENSVILLE	PA	65066	TRENTON	NJ	08638	2390.00	2390.00	2390	1
ADDISON	TX	75001	AUSTIN	TX	78744	500.00	500.00	500	2
TRENTON	NJ	08628	LOS ANGELES	CA	90032	3350.00	3350.00	3350	1
ROCKLAND	MA	02370	SWEDSEBORO	NJ	08085	550.00	550.00	550	1
GRAND PRAIRIE	TX	75051	GILA BEND	AZ	85337	3180.00	3180.00	3180	1
SWEDESBORO	NJ	08085	LOS ANGELES	CA	92505	3500.00	3500.00	3500	1
PHOENIX	AZ	85085	SUNNYVALE	CA	94089	1780.00	1780.00	1780	1
ROCKLAND	MA	02370	ADDISON	TX	75001	2800.00	2500.00	2650	2
MIDDLETOWN	VA	22645	GRAND PRAIRIE	TX	75052	1725.00	1725.00	1725	1
CHICAGO	IL	60651	EWING	NJ	08618	1900.00	1375.00	1729	7
TORRANCE	CA	90504	MOUNTAIN VIEW	CA	94043	650.00	650.00	650	1
SAN DIEGO	CA	92101	TORRANCE	CA	90504	795.00	795.00	795	1
TORRANCE	CA	90504	SAN DIEGO	CA	92101	795.00	795.00	795	1
FLAGSTAFF	AZ	86004	ELKTON	MD	21921	3790.00	3790.00	3790	1
MAQUOKETA	IA	52060	SWEDESBORO	NJ	08085	2000.00	2000.00	2000	1
WEST CHICAGO	IL	60185	KALAMAZOO	MI	49008	600.00	600.00	600	1
MIDDLETOWN	VA	22645	GRAND PRARIE	TX	75052	1700.00	1700.00	1700	1
KALMAZOO	MI	49008	ONTARIO	CA	91761	4000.00	4000.00	4000	1
CLAYSBURG	PA	16625	EWING 	PA	19134	950.00	950.00	950	1
PENNSAUKEN	NJ	08109	GURNEE	IL	60031	1050.00	1050.00	1050	1
FLORENCE	SC	29501	SECAUCUS	NJ	07094	1500.00	1500.00	1500	1
PUTNAM	CT	06260	SHEPHERDSVILLE	KY	40165	1375.00	1050.00	1226	11
EWING	NJ	08638	HOUSTON	TX	77032	2300.00	2200.00	2267	3
