Master #	Date	CUSTOMER	Origin City	State	Zip	Final Delivery City	State	ZIP	Equipment	Temp CTRL	TOTAL COST	CARRIER NAME	ASSET	BROKER	REASON FOR USING BROKER	ASSET NOTES		PREVIOUS RATE	COST DIFFERENCE	PREVIOUS CARRIER
1089882	01-Mar-16	ETS	LANCASTER	PA	17601	TRENTON	NJ	08638	53	False	500.00	ENG Trans	True	True						
1089581	01-Mar-16	Thermo	MIDDLETOWN	VA	22645	BUFORD	GA	30519	53	False	800.00	Mavric	True	True						
1089867	01-Mar-16	ETS	LANCASTER	PA	17601	EWING	NJ	08618	53	False	800.00	Matrix	True	True						
1089856	01-Mar-16	ETS	ROCKLAND	MA	02370	CLAYSBURG	PA	16625	24	False	715.00	Delta Express	True	True						
1089569	01-Mar-16	ETS	ROCKLAND	MA	02370	EWING	NJ	08618	53	False	550.00	West Motor	True	True				550.00		West Motor
1089752	01-Mar-16	ETS	ROCKLAND	MA	02370	EWING	NJ	08618	53	False	550.00	West Motor	True	True				550.00		West Motor
1090328	01-Mar-16	ETS	SWEDESBORO	NJ	08085	LOS ANGELES	CA	92505	53 Team	False	3500.00	Love Freight	True	True						
1089331	01-Mar-16	Janssen	HUNTLEY	IL	60142	ROCKFORD	IL	61109	53	False	450.00	KWA	True	True				774.58	-324.58	Fore Trans
1089578	01-Mar-16	Thermo	KALMAZOO	MI	49008	TACOMA	WA	98424	53	False	3900.00	Global EX	True	True						
1089477	01-Mar-16	Fisher	CONYERS	GA	30012	BREININGSVILLE	PA	18031	53	False	1690.46	West Motor	True	True						
1089964	02-Mar-16	ETS	LANCASTER	PA	17601	TRENTON	NJ	08638	53	False	500.00	Explore	True	True				500.00		ENG Trans
1090019	02-Mar-16	ETS	NEWBURYPORT	MA	01950	EWING	NJ	08628	53	False	550.00	DSA Logistics	True	True						
1089910	02-Mar-16	Janssen	CHARLOTTE	NC	28262	JACKSONVILLE	FL	32218	53	False	850.00	ShipEx	True	True						
1089906	02-Mar-16	Thermo	MIDDLETOWN	VA	22645	MONTGOMERY	NY	12549	53	False	775.00	JRC Trans	True	True						
1090049	02-Mar-16	GPJ	BROOMFIELD	CO	80020	TORRANCE	CA	90504	53	False	1690.00	HALOG	True	False	X					
1089904	02-Mar-16	Thermo	MIDDLETOWN	VA	22645	WAUKEGAN	IL	60085	53	False	900.00	FreeStyle	True	True						
1090046	03-Mar-16	Thermo	MIDDLETOWN	VA	22645	MONTGOMERY	NY	12549	53	False	800.00	Brite Logistics	True	True				775.00	25.00	JRC Trans
1090106	03-Mar-16	ETS	LANCASTER	PA	17601	EWING	NJ	08638	53	False	575.00	West Motor	True	True						
1090122	03-Mar-16	ETS	AUSTIN	TX	78744	EWING	NJ	08628	53 Team	False	3580.00	HALOG	True	False	X					
1090010	03-Mar-16	Janssen	HUNTLEY	IL	60142	ROCKFORD	IL	61109	53	False	450.00	Premium Express	True	True				450.00		KWA
1089967	03-Mar-16	Fisher	CONYERS	GA	30012	BREININGSVILLE	PA	18031	53	False	1690.46	West Motor	True	True				1690.46		West Motor
