CARRIER	MAX	MIN	AVG	COUNT
West Motor	2500.00	375.00	916	77
Load 2 Ride	3500.00	3500.00	3500	1
GreenLand	1300.00	1300.00	1300	1
XPO	3611.26	1250.00	2471	15
Hatch	2450.00	500.00	1289	36
KT Truck	2800.00	2800.00	2800	1
ENG Trans	2800.00	500.00	2067	6
Explore	550.00	500.00	525	2
FedEx CC	8296.00	8296.00	8296	1
Mavric	800.00	800.00	800	1
Sargent	1900.00	750.00	1325	2
DSA Logistics	550.00	550.00	550	1
Carnes	1215.00	825.00	998	5
Summit	1000.00	1000.00	1000	1
BWI	5700.00	3757.44	4729	2
HALOG	4980.00	650.00	2182	35
Pinnacle	2295.00	600.00	851	19
Globe Logistics	2400.00	2400.00	2400	1
Cargo Solutions	2350.00	2350.00	2350	1
Martyn	2150.00	2150.00	2150	1
ShipEx	850.00	850.00	850	1
Overdrive	1694.60	1679.80	1687	2
RoadRunner	850.00	850.00	850	3
Matrix	800.00	800.00	800	1
Supierior	1050.00	900.00	975	2
JRC Trans	775.00	775.00	775	1
Brite Logistics	1850.00	800.00	1575	4
TMG Trans	800.00	800.00	800	1
Xpedite	2000.00	1900.00	1975	4
Liberty Trans	2300.00	2200.00	2233	3
JV Group	2250.00	2100.00	2212	4
RR Trans	2200.00	1000.00	1584	8
S&T Trans	2200.00	600.00	1312	8
USA Freight	2100.00	1150.00	1625	2
Ward	850.00	850.00	850	3
NLZ Trans	900.00	900.00	900	1
Carana	3700.00	3700.00	3700	1
All States	2300.00	375.00	1338	2
Indystar	625.00	625.00	625	1
Delta Express	2150.00	415.00	1020	13
BlueStar	1600.00	1600.00	1600	1
Associated	1400.00	1200.00	1300	2
Nolan	2235.00	615.00	1111	6
Silva Express	550.00	500.00	525	2
Olero	1250.00	600.00	920	5
Baylor	1650.00	600.00	1125	2
Amerifreight	1250.00	550.00	779	7
D&D Trans	2900.00	0	2032	15
Arga Trans	2000.00	2000.00	2000	1
CDM Express	2100.00	1850.00	1975	2
Pronto	2100.00	2100.00	2100	1
1st Class	2200.00	2200.00	2200	1
Four H	2100.00	2100.00	2100	1
Windstar	2200.00	2200.00	2200	1
Bayarde	2000.00	2000.00	2000	1
Right Time	2150.00	1100.00	1625	2
Flying Eagle	2000.00	2000.00	2000	1
Greenway	2900.00	2200.00	2425	4
Fastlane	2200.00	450.00	1314	7
Love Freight	3500.00	1200.00	2950	8
Mariner	500.00	500.00	500	1
Trucking Experts	2200.00	2200.00	2200	1
O&M Truck	1600.00	1600.00	1600	1
BBK	1700.00	650.00	1489	14
O&M	1775.00	1600.00	1675	3
Quality	1700.00	1600.00	1658	3
Caravan	1550.00	1550.00	1550	1
BSG Resource	1500.00	1500.00	1500	1
Comstar	0	0	0	1
Landstar	1959.90	1950.30	1955	2
Daybreak	1800.00	395.00	872	6
JJ Express	3350.00	3350.00	3350	1
Drue Christ	900.00	900.00	900	1
Euro Express	500.00	500.00	500	1
Fast Lane	3350.00	2200.00	2775	2
SNA Trans	2800.00	2800.00	2800	1
Sarge	1900.00	600.00	1150	6
KWA	1900.00	450.00	1408	6
VL Trucking	4000.00	4000.00	4000	1
Orozco	3000.00	1050.00	2025	2
Airflight	1100.00	1100.00	1100	1
BIH Express	2600.00	750.00	1450	4
ERM Lines	1200.00	1200.00	1200	1
All States Transport	2200.00	700.00	1450	2
CS-1	4990.00	4990.00	4990	1
Maybach	1300.00	1300.00	1300	1
Panther	4273.58	1631.55	2498	4
Greenway Trans	2300.00	700.00	1733	3
Vlad & Brother	1900.00	1900.00	1900	1
Sunteck	1450.00	1450.00	1450	1
MB Global	1250.00	1250.00	1250	1
LG Truck	980.00	980.00	980	1
FreeStyle	1150.00	550.00	806	9
Devine	1200.00	1200.00	1200	1
MVK Trans	1100.00	1100.00	1100	1
Fore Trans	774.58	500.00	546	6
Premium Express	450.00	450.00	450	1
Tibbi Express	1600.00	1600.00	1600	1
Free Style	1600.00	1000.00	1300	2
S&T	1000.00	1000.00	1000	1
Bluesky	900.00	900.00	900	1
Superior	850.00	850.00	850	1
NKC Trans	1375.00	1375.00	1375	1
ETI	0	0	0	1
Bluestar	3100.00	800.00	1650	3
C Trucking	2400.00	2200.00	2267	3
ABJ Express	2550.00	2300.00	2425	2
NEON	800.00	800.00	800	1
Global EX	3900.00	3900.00	3900	1
Allstate	2500.00	2300.00	2400	2
Reliable	2300.00	2300.00	2300	1
LHT Logistics	800.00	600.00	700	2
Instant Courier	1850.00	1850.00	1850	1
Ward Trucking	850.00	850.00	850	2
Neon	800.00	800.00	800	12
ITF	800.00	800.00	800	1
DNA	950.00	950.00	950	1
Caddo Mills	650.00	650.00	650	1
Charlotte Freight	600.00	600.00	600	1
Long Run	1000.00	1000.00	1000	1
VMB Trans	2900.00	2900.00	2900	1
Lightning	900.00	900.00	900	1
Extra Logistics	450.00	450.00	450	1
Mercer	1150.00	1150.00	1150	1
Arga	2000.00	2000.00	2000	1
Fast Cargo	2950.00	2950.00	2950	1
Almar	1800.00	1800.00	1800	1
