Master #	Date	CUSTOMER	Origin City	State	Zip	Final Delivery City	State	ZIP	Equipment	Temp CTRL	TOTAL COST	CARRIER NAME	ASSET	BROKER	REASON FOR USING BROKER	ASSET NOTES		PREVIOUS RATE	COST DIFFERENCE	PREVIOUS CARRIER
1084329	26-Jan-15	Alphagraphics	CARY	NC	27518	ORLANDO	FL	32830	53	False	1250.00	Amerifreight	True	False						
1076853	01-Dec-15	ETS	ROCKLAND	MA	02370	EWING	NJ	08618	53	False	595.00	West Motor	True	False						
1076858	01-Dec-15	PTC THERAPEUTICS	ROCKFORD	IL	61109	TAMPA	FL	33607	26 FT ST	False	3611.26	XPO	True	False						
1076961	01-Dec-15	ETS	TORRINGTON	CT	06790	EWING	NJ	08618	53	False	595.00	West Motor	True	False						
1077081	02-Dec-15	Janssen	TINTON FALLS	NJ	07724	CHARLOTTE	NC	28273	53	False	990.00	Hatch	True	False		PARTNER CARRIER				
1077057	02-Dec-15	Janssen	MOONACHIE	NJ	07074	LEBANON JUNCTION	KY	40150	53	False	900.00	Carnes	True	False						
1076819	02-Dec-15	Janssen	PUTNAM	CT	06260	SHEPHERDSVILLE	KY	40165	53	False	1375.00	Hatch	True	False		PARTNER CARRIER				
1077024	02-Dec-15	PTC THERAPEUTICS	HORSHAM	PA	19044	ROCKFORD	IL	61109	53	False	1934.42	XPO	True	False						
1077002	02-Dec-15	ETS	NEWBURYPORT	MA	01950	EWING	NJ	08618	53	False	595.00	West Motor	True	False						
1076792	02-Dec-15	Janssen	YORK	PA	17402	ROCKFORD	IL	61109	53	False	1125.00	Hatch	True	False		PARTNER CARRIER				
1077079	02-Dec-15	Janssen	YORK	PA	17402	ROCKFORD	IL	61109	53	False	1125.00	Hatch	True	False		PARTNER CARRIER		1125.00		Hatch
1077112	03-Dec-15	ETS	NEWBURYPORT	MA	01950	EWING	NJ	08618	53	False	650.00	Hatch	True	False		PARTNER CARRIER		595.00	55.00	West Motor
1077208	03-Dec-15	Fisher Clinical 	ALLENTOWN	PA	18106	KANSAS CITY	MO	64137	53	True	4273.58	Panther	True	False		TEMP VALIADTED SERVICE				
1077114	04-Dec-15	ETS	MAQUOKETA	IA	52060	EWING	NJ	08618	53	False	2390.00	Hatch	True	False		PARTNER CARRIER				
1077117	04-Dec-15	ETS	MAQUOKETA	IA	52060	EWING	NJ	08618	53	False	2390.00	Hatch	True	False		PARTNER CARRIER		2390.00		Hatch
1076542	04-Dec-15	Bally	MOREHEAD CITY	NC	28557	BRADENTON	FL	34203	53	False	1700.00	Hatch	True	False		Own Truck				
1077205	04-Dec-15	Janssen	PUTNAM	CT	06260	SHEPHERDSVILLE	KY	40165	53	False	1375.00	Hatch	True	False		PARTNER CARRIER		1375.00		Hatch
1076996	04-Dec-15	WL Gore	ELKTON	MD	21921	FLAGSTAFF	AZ	86005	53 - Reefer	False	4980.00	HALOG	False	True	Service					
1077425	05-Dec-15	ETS	ROCKLAND	MA	02370	EWING	NJ	08618	53	False	745.00	West Motor	True	False		$150 more for Weekend P/U		595.00	150.00	West Motor
1077519	07-Dec-15	Janssen	GREENVILLE	SC	29605	RAHWAY	NJ	07065	53	False	1690.00	Hatch	True	False		PARTNER CARRIER				
1077522	07-Dec-15	Janssen	GREENVILLE	SC	29605	RAHWAY	NJ	07065	53	False	1690.00	Hatch	True	False		PARTNER CARRIER		1690.00		Hatch
1077248	07-Dec-15	Janssen	PUTNAM	CT	06260	SHEPHERDSVILLE	KY	40165	53	False	1375.00	Hatch	True	False		PARTNER CARRIER		1375.00		Hatch
1077533	07-Dec-15	ETS	CLAYSBURG	PA	16625	EWING	NJ	08618	53	False	950.00	Hatch	True	False		PARTNER CARRIER				
1078196	08-Dec-15	Janssen	TINTON FALLS	NJ	07724	MORRISVILLE	NC	27560	53	False	925.00	Pinnacle	True	False						
1078189	08-Dec-15	ETS	ROCKLAND	MA	02370	EWING	NJ	08618	53	False	595.00	West Motor	True	False				745.00	-150.00	West Motor
1077973	09-Dec-15	CI - Group	MINNEAPOLIS	MN	55442	BRANCHBURG	NJ	08876	53	False	2600.00	HALOG	False	True	Service					
1078382	09-Dec-15	Plexis	GRAND PRAIRIE	TX	75051	GILA BEND	AZ	85337	53	False	3180.00	HALOG	False	True	Service					
1078038	09-Dec-15	GPJ	TORRANCE	CA	90504	SAN DIEGO	CA	92101	53	False	795.00	HALOG	False	True	Service					
1078224	09-Dec-15	Janssen	PUTNAM	CT	06260	SHEPHERDSVILLE	KY	40165	53	False	1215.00	Carnes	True	False				1375.00	-160.00	Hatch
1078269	09-Dec-15	Janssen	PENNSAUKEN	NJ	08110	NEW CASTLE 	DE	19720	53	False	550.00	West Motor	True	False						
1078191	09-Dec-15	ETS	NEWBURYPORT	MA	01950	EWING	NJ	08618	53	False	595.00	West Motor	True	False				650.00	-55.00	Hatch
1078361	09-Dec-15	ETS	OWENSVILLE	MO	65066	TRENTON	NJ	08638	53	False	2390.00	HALOG	False	True	Service					
1078408	10-Dec-15	ETS	CLAYSBURG	PA	16625	EWING	NJ	08618	53	False	950.00	Hatch	True	False		PARTNER CARRIER		950.00		Hatch
1078510	10-Dec-15	ETS	NEWBURYPORT	MA	01950	SWEDESBORO	NJ	08085	53	False	750.00	Hatch	True	False		PARTNER CARRIER				
1078411	11-Dec-15	ETS	CLAYSBURG	PA	16625	EWING	NJ	08628	53	False	950.00	Hatch	True	False		PARTNER CARRIER				
1078787	11-Dec-15	Janssen	LITTLE FALLS	NJ	07424	CHARLOTTE	NC	28273	53	False	925.00	Nolan	False	True	Capacity					
1078397	11-Dec-15	ETS	OWENSVILLE	MO	65066	TRENTON	NJ	08638	53	False	2390.00	HALOG	False	True	Service			2390.00		HALOG
1078399	11-Dec-15	ETS	OWENSVILLE	MO	65066	TRENTON	NJ	08638	53	False	2390.00	HALOG	False	True	Service			2390.00		HALOG
1078851	14-Dec-15	Janssen	GREENVILLE	SC	29605	RAHWAY	NJ	07065	53	False	1690.00	Hatch	True	False		PARTNER CARRIER		1690.00		Hatch
1078910	14-Dec-15	ETS	CLAYSBURG	PA	16625	EWING	NJ	08628	53	False	950.00	Hatch	True	False		PARTNER CARRIER		950.00		Hatch
